No Equipment
Light Bowgun
Medium Bowgun
Heavy Bowgun
Royal Launcher
Jaggid Fire
Thundacrus Rex
Rathling Gun+
Blizzard Cannon
Poison Stinger
Devil's Grin
Tropeco Gun
Diablazooka
Agnablaster
Chaos Wing
Jhen Cannon
Dummy
Aquamatic "Spark"
Aquamatic "Longshot"
Vulcannon
No Equipment
Light Bowgun
Medium Bowgun
Heavy Bowgun
Aquamatic "Needler"
Royal Launcher
Thundacrus
Thundacrus Rex
Rathling Gun
Rathling Gun+
Blizzard Cannon
Poison Stinger
Tropeco Gun
Diablazooka
Agnablaster
Chaos Wing
Jhen Cannon
Aquamatic "Spark"
Aquamatic "Longshot"
Vulcannon
No Equipment
Light Bowgun
Medium Bowgun
Heavy Bowgun
Aquamatic "Needler"
Royal Launcher
Jaggid Fire
Thundacrus
Thundacrus Rex
Rathling Gun
Rathling Gun+
Barrozooka
Devil's Grin
Tropeco Gun
Diablazooka
Chaos Wing
Jhen Cannon
Aquamatic "Spark"
Aquamatic "Longshot"
Vulcannon
Bloodguilty Maw
