No Equipment
Leather Vest
Chainmail Vest
Loc Lac Shawl
Hunter's Mail
Hunter's Vest
Bone Mail
Bone Vest
Alloy Mail
Alloy Vest
Jaggi Mail
Jaggi Vest
Bnahabra Suit
Bnahabra Vest
Rhenoplos Mail
Rhenoplos Vest
Qurupeco Mail
Qurupeco Vest
Ludroth Mail
Ludroth Vest
Steel Mail
Baggi Mail
Baggi Vest
Barroth Mail
Barroth Vest
Gobul Mail
Gobul Vest
Ranger's Girdle
Archer's Girdle
Guild Bard Bolero
Guild Bard Vest
Scholar's Blouse
Scholar's Vest
Rathian Mail
Rathian Vest
Gigginox Mail
Gigginox Vest
Ingot Mail
Ingot Vest
Lagiacrus Mail
Lagiacrus Vest
Rathalos Mail
Rathalos Vest
Barioth Mail
Barioth Vest
Diablos Mail
Diablos Vest
Uragaan Mail
Uragaan Vest
Agnaktor Mail
Agnaktor Vest
Helios Mail
Helios Vest
Selene Mail
Selene Vest
Yamato Muneate
Mutsu Muneate
Hinata Muneate
Amagi Muneate
Leather Mail+
Leather Vest+
Chainmail Armor+
Chainmail Vest+
Loc Lac Shawl+
Loc Lac Vest+
Hunter's Mail+
Hunter's Vest+
Bone Mail+
Bone Vest+
Alloy Mail+
Alloy Vest+
Jaggi Mail+
Jaggi Vest+
Bnahabra Mail+
Bnahabra Vest+
Rhenoplos Mail+
Rhenoplos Vest+
Qurupeco Mail+
Qurupeco Vest+
Ludroth Mail+
Ludroth Vest+
Steel Mail+
Baggi Mail+
Baggi Vest+
Barroth Mail+
Barroth Vest+
Gobul Mail+
Gobul Vest+
Guild Bard Bolero+
Guild Bard Vest+
Scholar's Blouse+
Scholar's Vest+
Rathian Mail+
Rathian Vest+
Gigginox Mail+
Gigginox Vest+
Ingot Mail+
Ingot Vest+
Dober Mail
Dober Vest
Lagiacrus Mail+
Lagiacrus Vest+
Rathalos Mail+
Rathalos Vest+
Barioth Mail+
Barioth Vest+
Diablos Mail+
Diablos Vest+
Uragaan Mail+
Uragaan Vest+
Agnaktor Mail+
Agnaktor Vest+
Vangis Mail
Vangis Vest
Damascus Mail
Damascus Vest
Helios Mail+
Helios Vest+
Selene Mail+
Selene Vest+
Yamato Muneate+
Mutsu Muneate+
Hinata Muneate+
Amagi Muneate+
Escadora Soul
Escadora Seele
Chakra Necklace
HellHunter Jacket
HellHunter Leather
SoulHunter Jacket
SoulHunter Leather
No Equipment
Leather Gloves
Chainmail Gloves
Hunter's Vambraces
Hunter's Guards
Bone Vambraces
Bone Guards
Alloy Vambraces
Alloy Guards
Jaggi Vambraces
Jaggi Guards
Rhenoplos Vambraces
Rhenoplos Guards
Qurupeco Vambraces
Qurupeco Guards
Ludroth Vambraces
Ludroth Guards
Steel Vambraces
Baggi Vambraces
Baggi Guards
Barroth Vambraces
Barroth Guards
Gobul Vambraces
Gobul Guards
Ranger's Gauntlets
Archer's Gauntlets
Guild Bard Braces
Guild Bard Sleeves
Scholar's Gloves
Scholar's Sleeves
Rathian Vambraces
Rathian Guards
Gigginox Vambraces
Gigginox Guards
Ingot Vambraces
Ingot Guards
Lagiacrus Vambraces
Lagiacrus Guards
Rathalos Vambraces
Rathalos Guards
Barioth Vambraces
Barioth Guards
Diablos Vambraces
Diablos Guards
Uragaan Vambraces
Uragaan Guards
Agnaktor Vambraces
Agnaktor Guards
Helios Vambraces
Helios Guards
Selene Vambraces
Selene Guards
Yamato Kote
Mutsu Kote
Hinata Kote
Amagi Kote
Leather Vambraces+
Leather Guards+
Chainmail Vambraces+
Chainmail Guards+
Hunter's Vambraces+
Hunter's Guards+
Bone Vambraces+
Bone Guards+
Alloy Vambraces+
Alloy Guards+
Jaggi Vambraces+
Jaggi Guards+
Rhenoplos Vambraces+
Rhenoplos Guards+
Qurupeco Vambraces+
Qurupeco Guards+
Ludroth Vambraces+
Ludroth Guards+
Steel Vambraces+
Baggi Vambraces+
Baggi Guards+
Barroth Vambraces+
Barroth Guards+
Gobul Vambraces+
Gobul Guards+
Guild Bard Braces+
Guild Bard Sleeves+
Scholar's Gloves+
Scholar's Sleeves+
Rathian Vambraces+
Rathian Guards+
Gigginox Vambraces+
Gigginox Guards+
Ingot Vambraces+
Ingot Guards+
Dober Vambraces
Dober Guards
Lagiacrus Vambraces+
Lagiacrus Guards+
Rathalos Vambraces+
Rathalos Guards+
Barioth Vambraces+
Barioth Guards+
Diablos Vambraces+
Diablos Guards+
Uragaan Vambraces+
Uragaan Guards+
Agnaktor Vambraces+
Agnaktor Guards+
Vangis Vambraces
Vangis Guards
Damascus Vambraces
Damascus Guards
Helios Vambraces+
Helios Guards+
Selene Vambraces+
Selene Guards+
Yamato Kote+
Mutsu Kote+
Hinata Kote+
Amagi Kote+
Escadora Arms
Escadora Arma
Chakra Bracelet
Grinder Bracelet
Factory Bracelet
Upstream Bracelet
Blast Bracelet
Pep Bracelet
No Equipment
Leather Belt
Piscine Belt
Chainmail Belt
