Un titre que peuvent porter tous les chasseurs.
Preuve que vous avez atteint le rang de chasseur 9.
Preuve que vous avez atteint le rang de chasseur 18.
Preuve que vous avez atteint le rang de chasseur 30.
Preuve que vous avez atteint le rang de chasseur 40.
Preuve que vous avez atteint le rang de chasseur 51.
Preuve que vous avez atteint le rang de chasseur 100.
Preuve que vous avez vaincu 20 Grands Jaggi.
Preuve que vous avez vaincu 50 Grands Jaggi.
Preuve que vous avez vaincu 100 Grands Jaggi.
Preuve que vous avez vaincu 20 Grands Baggi.
Preuve que vous avez vaincu 50 Grands Baggi.
Preuve que vous avez vaincu 100 Grands Baggi.
Preuve que vous avez vaincu 20 Qurupeco.
Preuve que vous avez vaincu 50 Qurupeco.
Preuve que vous avez vaincu 100 Qurupeco.
Preuve que vous avez vaincu 20 Ludroth royaux.
Preuve que vous avez vaincu 50 Ludroth royaux.
Preuve que vous avez vaincu 100 Ludroth royaux.
Preuve que vous avez vaincu 20 Barroth.
Preuve que vous avez vaincu 50 Barroth.
Preuve que vous avez vaincu 100 Barroth.
Preuve que vous avez vaincu 20 Gobul.
Preuve que vous avez vaincu 50 Gobul.
Preuve que vous avez vaincu 100 Gobul.
Preuve que vous avez vaincu 20 Rathians.
Preuve que vous avez vaincu 50 Rathians.
Preuve que vous avez vaincu 100 Rathians.
Preuve que vous avez vaincu 20 Gigginox.
Preuve que vous avez vaincu 50 Gigginox.
Preuve que vous avez vaincu 100 Gigginox.
Preuve que vous avez vaincu 20 Rathalos.
Preuve que vous avez vaincu 50 Rathalos.
Preuve que vous avez vaincu 100 Rathalos.
Preuve que vous avez vaincu 20 Barioth.
Preuve que vous avez vaincu 50 Barioth.
Preuve que vous avez vaincu 100 Barioth.
Preuve que vous avez vaincu 20 Lagiacrus.
Preuve que vous avez vaincu 50 Lagiacrus.
Preuve que vous avez vaincu 100 Lagiacrus.
Preuve que vous avez vaincu 20 Diablos.
Preuve que vous avez vaincu 50 Diablos.
Preuve que vous avez vaincu 100 Diablos.
Preuve que vous avez vaincu 20 Uragaan.
Preuve que vous avez vaincu 50 Uragaan.
Preuve que vous avez vaincu 100 Uragaan.
Preuve que vous avez vaincu 20 Agnaktor.
Preuve que vous avez vaincu 50 Agnaktor.
Preuve que vous avez vaincu 100 Agnaktor.
Preuve que vous avez vaincu 20 Deviljho.
Preuve que vous avez vaincu 50 Deviljho.
Preuve que vous avez vaincu 100 Deviljho.
Preuve que vous avez vaincu 10 Jhen Mohran.
Preuve que vous avez vaincu 20 Jhen Mohran.
Preuve que vous avez vaincu 30 Jhen Mohran.
Preuve que vous avez vaincu 10 Alatreon.
Preuve que vous avez vaincu 20 Alatreon.
Preuve que vous avez vaincu 30 Alatreon.
Preuve que vous avez vaincu 10 Ceadeus.
Preuve que vous avez vaincu 20 Ceadeus.
Preuve que vous avez vaincu 30 Ceadeus.
