Dépeceur Felyne ++
Dépeceur Felyne +
Médecine Felyne
Ninja Felyne
Pyro Felyne
Spécialiste Felyne
Défense Felyne ++
Défense Felyne +
Musicien Felyne
Menuisier Felyne
Charisme Felyne
Alchimie Felyne ++
Alchimie Felyne +
Collecteur Felyne
Sniper Felyne
Chat ultra chanceux
Chat chanceux
Héroïsme Felyne
Samouraï Felyne
Escapologiste Felyne
Lanceur Felyne
Courage Felyne
Superchat Felyne
Hercule Felyne
Chat peureux
Explorateur Felyne
Marchand Felyne
Invincib. Felyne ++
Invincib. Felyne +
Tempérament Felyne
Kickboxeur Felyne
Guerrier Felyne
Alpiniste Felyne ++
Alpiniste Felyne +
Superdépeceur Felyne
Acrobatie Felyne
Chat calme
Bulldozer Felyne
Gourmet Felyne
Boxeur Felyne
Crésus Felyne
Artificier Felyne
Bombardier Felyne
Volonté Felyne
Puanteur Felyne
Soigneur Felyne
Ignifugation Felyne
Esquive Felyne
Oracle Felyne
Forgeron Felyne
